Церковь Собора Московских святых;+7 (495) 105-57-01, +7 (499) 206-01-64;;Костромская ул., 7, Москва;bibirevo.moseparh.ru;55.887 37.599;church
Храм-часовня иконы Пресвятой Богородицы Утоли моя печали в Медведково;;+7 (903) 012-11-48;Широкая ул., 14, Москва;moja-pechali.moseparh.ru;55.887 37.661;church
Храм-часовня в честь Иверской иконы Божией Матери;;+7 (925) 644-48-74;улица Стартовая, вл6 ст1;sobor-nm.ru;55.889 37.698;church
Храм святых бессребреников и чудотворцев Космы и Дамиана в Космодемьянском;+7 (495) 572-36-28;+7 (991) 246-30-89, +7 (916) 474-15-83;Правобережная ул., 6, Москва;kosmaidamian.ru;55.880 37.455;church
Храм Великомученика и целителя Пантелеймона;+7 (499) 724-94-68;+7 (916) 354-12-57, +7 (916) 829-69-13;Остафьевская ул., 44, Москва;hram-vlad-butovo.ru , luchangela.ru;55.532 37.499;church
Храм Рождества Христова в Черневе;+7 (495) 714-69-45;;Черневская, ст1 к1;hrambutovo.ru;55.538 37.525;church
Храм Архангела Михаила, с. Летово;+7 (495) 817-74-94;+7 (977) 150-87-11;деревня Летово, 1 ст1;letovochurch.ru , old.letovochurch.ru;55.564 37.408;church
Храм Преображения Господня, пос. Коммунарка;+7 (495) 817-21-62;;посёлок Коммунарка, 22а;храмкоммунарка.рф;55.570 37.474;church
Воскресная учебно-воспитательная группа храма Илии пророка в Северном Бутово;;+7 (925) 007-19-77;Куликовская, 16а ст1;prorokiliya.ru;55.570 37.563;church
Храм Святителя Николая Мирликийского Чудотворца в Бирюлёво;+7 (495) 383-50-49, +7 (495) 383-75-01;;Булатниковский пр., 8А, Москва;st-nikolas.ru;55.590 37.652;church
Храм Входа Господня в Иерусалим в Бирюлёво;+7 (495) 669-44-71, +7 (495) 740-94-60;;Михневский пр., 2, Москва;храм-бирюлево.рф;55.579 37.667;church
Храм Святых Царственных Страстотерпцев в Ясеневе;;+7 (916) 524-88-77;Ясногорская улица, вл22;hramstrastoterpcy.ru;55.600 37.530;church
Церковь Веры, Надежды, Любови и матери их Софии в Чертанове;;+7 (967) 265-42-90, +7 (965) 342-82-42;ул. Подольских Курсантов, вл7, Москва;hram-vnls.ru , hram-muchenits.moseparh.ru;55.608 37.623;church
Достойно Есть, храм в честь иконы Божьей Матери;;+7 (925) 376-95-82, +7 (903) 255-89-49, +7 (925) 025-18-82;6-я Радиальная улица, 24Б;dostoyno-est.ru;55.609 37.652;church
Храм иконы Божией Матери Троеручица;+7 (495) 641-05-04;;Каширское шоссе, вл63 ст2;troeruchitsa.ru , old.troeruchitsa.ru;55.606 37.721;church
Храм Святой Живоначальной Троицы в пос. Мосрентген;+7 (495) 727-23-33;;посёлок Завода Мосрентген, 1;hram-mosrentgen.ru;55.615 37.476;church
Храм великомученицы Анастасии Узорешительницы в Теплом Стане;+7 (495) 424-11-98;+7 (965) 179-62-76;Тёплый Стан, вл2;stanastasia.ru;55.626 37.489;church
Храм Казанской Иконы Божией Матери в Узком;+7 (495) 427-09-90;;Профсоюзная ул., 123Б, Москва;uzkoe.narod.ru , hram-uzkoe.ru;55.622 37.537;church
Храм Покрова Пресвятой Богородицы в Ясеневе;+7 (495) 425-28-81;+7 (967) 025-98-53, +7 (916) 378-06-31, +7 (926) 457-03-80;Литовский бульвар, 7а;hrampokrov.ru;55.615 37.540;church
Храм Архистратига Божия Михаила в Царицыно;;+7 (903) 015-05-18, +7 (968) 836-82-73;Луганская улица, вл9Б;arh-mihail.ru;55.623 37.671;church
Храм Троицы Живоначальной в Орехово-Борисово;+7 (495) 393-91-14, +7 (495) 343-68-87;;Каширское ш., 61А, Москва;1000let.ru;55.627 37.712;church
Храм преподобного Сергия Радонежского в Солнцево;+7 (495) 203-38-60, +7 (495) 735-07-12;+7 (905) 586-19-01, +7 (965) 182-76-50, +7 (917) 597-46-97, +7 (965) 183-18-84;ул. Богданова, 21, Москва;hram-solncevo.ru , храм-солнцево.рф;55.651 37.392;church
