Венгерский культурный центр, г. Москва;+7 (495) 691-37-47, +7 (495) 691-31-34;;Мосфильмовская ул., 62, Москва;huncult.ru;55.716 37.514;museum
Российская академия Искусств;+7 (495) 229-63-51, +7 (495) 229-63-52;+7 (909) 674-57-99;3-я Фрунзенская ул., 19, Москва;aris-art.ru;55.723 37.572;museum
Росстройэкспо;+7 (495) 781-79-63;+7 (905) 501-16-76, +7 (916) 064-83-68;Фрунзенская наб., 30, стр. 14, Москва;rse.ru;55.723 37.586;museum
На Шаболовке, галерея;+7 (495) 954-96-60, +7 (495) 954-30-09;;ул. Серпуховский Вал, 24, корп. 2, Москва;shabolovka.vzmoscow.ru , avantgarde.center , nashabolovke-gallery.com , vzmoscow.ru;55.713 37.610;museum
Художественная галерея абстрактного искусства;+7 (499) 125-37-27;+7 (903) 549-24-45, +7 (906) 092-00-33;Люсиновская ул., 72, Москва;cuper-art.ru;55.714 37.621;museum
Галерея Люмьер, галерея фотографии;+7 (499) 230-39-42;+7 (903) 795-17-55, +7 (906) 784-24-49, +7 (903) 622-77-69;ул. Большая Полянка, 61, стр. 1, Москва;lumiere.ru , bookshop.lumiere.ru;55.731 37.622;museum
Галерея Квад Файн А.;;+7 (916) 926-82-10;6-й Монетчиковский пер., 19, Москва;quadfineart.ru;55.732 37.633;museum
HSE Art Gallery, галерея;+7 (495) 772-95-90, +7 (495) 621-87-11;+7 (903) 144-20-32, +7 (926) 279-69-14, +7 (916) 170-98-03, +7 (926) 726-50-80, +7 (985) 883-84-46, +7 (925) 567-74-70, +7 (916) 640-39-04;Малая Пионерская ул., 12, Москва;design.hse.ru , art.hse.ru;55.729 37.636;museum
Ирри;;+7 (926) 403-78-87;Дербеневская наб., 7, стр. 31, Москва;irriloft.ru;55.723 37.651;museum
Музей Ратной Истории г. Москвы;;+7 (925) 209-02-82, +7 (926) 669-63-82, +7 (925) 309-35-09;Крутицкая ул., 17, стр. 2, Москва;castle.moscow;55.728 37.658;museum
Дверсаль;+7 (495) 923-85-00;+7 (977) 776-08-87;Волгоградский просп., 32, корп. 8, Москва;dvers-all.ru;55.724 37.689;museum
Картинная галерея Арт салон Августо Бруно;;+7 (903) 968-01-95;Бережковская наб., 2, Москва;artsalonbruno.com;55.742 37.568;museum
Frangulyan Gallery;;+7 (919) 990-05-05;Погодинская ул., 2, Москва;frangulyanstudio.com;55.735 37.572;museum
Booroom;+7 (495) 967-20-51;;Ростовская наб., 5, Москва;booroomgallery.com;55.743 37.575;museum
Фонд ruarts, галерея современного искусства;+7 (495) 664-33-12;;Трубниковский пер., 6, Москва;ruarts.foundation;55.751 37.587;museum
В этом доме жила и работала скульптор А.С. Голубкина с 1910 по 1927 г.;+7 (495) 957-07-27;;Большой Лёвшинский пер., 12, стр. 1, Москва;tretyakovgallery.ru , tretyakov.ru;55.742 37.586;museum
Money Gallery;;+7 (903) 717-06-97, +7 (915) 302-01-30;Денежный пер., 18, Москва;gallery.money;55.745 37.587;museum
Comedy Gallery;;+7 (908) 472-05-76, +7 (915) 456-99-41;Малый Лёвшинский пер., 7, стр. 1, Москва;comedy-gallery.com;55.742 37.589;museum
Галерея Саркисян, художественная мастерская;+7 (495) 796-10-36, +7 (495) 796-53-53;;ул. Пречистенка, 30/2, Москва;sarkissian.ru;55.741 37.592;museum
Арт-коминтерн, галерея;+7 (495) 724-56-31, +7 (495) 933-51-78;+7 (901) 510-66-93;улица Пречистенка, 30/2;artkomintern.ru;55.741 37.592;museum
Арт Панорама;+7 (495) 509-83-86;+7 (903) 509-83-86;ул. Пречистенка, 30/2, Москва;artpanorama.su;55.741 37.592;museum
Русское искусство, галерея;;+7 (915) 488-70-15, +7 (906) 741-05-05;ул. Пречистенка, 30/2, Москва;rusart-gallery.ru;55.741 37.592;museum
Артефакт, салон-галерея;+7 (495) 609-93-93;;ул. Пречистенка, 30/2, Москва;artefact-gallery.ru;55.741 37.592;museum
Alina Pinsky Gallery;;+7 (963) 635-38-10, +7 (967) 272-88-47;ул. Пречистенка, 28, Москва;alinapinskygallery.com;55.742 37.593;museum
Акант;;+7 (985) 233-69-03, +7 (985) 309-46-62;ул. Пречистенка, 30/2, Москва;zolotoe-sechenie.ru;55.741 37.592;museum
Русь-Арт&Галерея24;;+7 (916) 195-85-46, +7 (925) 514-42-24, +7 (985) 410-25-01;ул. Пречистенка, 30/2, Москва;gallery24rusart.ru;55.741 37.592;museum
Коллекцiонеръ клуб;+7 (495) 648-62-42;;ул. Пречистенка, 30/2, Москва;collectart.ru;55.741 37.592;museum
Кадуцей;;+7 (967) 161-44-40;ул. Арбат, 24, Москва;arbat24expo.ru;55.750 37.592;museum
Иконотека А. Н. Овчинникова;+7 (499) 265-76-72, +7 (499) 763-37-29, +7 (499) 763-37-40;;Пречистенский пер., 5А, Москва;grabar.ru;55.743 37.594;museum
Omelchenko Gallery;;+7 (910) 488-63-47, +7 (965) 291-22-20, +7 (963) 751-67-25;Староконюшенный пер., 32, Москва;omelchenkogallery.com;55.749 37.595;museum
Арт-Экспорт;+7 (495) 018-58-40;+7 (915) 359-43-95, +7 (916) 697-78-12;Померанцев пер., 3, Москва;art-export.ru;55.738 37.594;museum
Галерея Всекохудожник;;+7 (916) 650-22-15;Фрунзенская наб., 10, Москва;vsekohudozhnik.ru;55.733 37.595;museum
Lumas;+7 (495) 692-82-82;;Староконюшенный пер., 5/14, Москва, Россия;lumas.com;55.745 37.595;museum
Smirnovgallery;;+7 (964) 557-96-19;ул. Крымский Вал, 8, Москва;smirnovgallery.ru;55.747 37.596;museum
Ruarts, галерея актуального искусства;+7 (495) 637-74-81, +7 (495) 637-44-75;;1-й Зачатьевский пер., 10, Москва;ruarts.gallery;55.741 37.601;museum
